Datum/Uhrzeit;Preis;Bezeichnung;Menge;Zahlung;Bonnr.;
11.07.2025 09:45:31;105,00;Saisonkarte Erwachsen;1;EC-Cash;05166;
11.07.2025 10:00:51;105,00;Saisonkarte Erwachsen;1;Bar;05167;
11.07.2025 10:03:32;105,00;Saisonkarte Erwachsen;1;Bar;05168;
11.07.2025 10:04:40;105,00;Saisonkarte Erwachsen;1;Bar;05169;
11.07.2025 10:07:01;105,00;Saisonkarte Erwachsen;1;Bar;05170;
11.07.2025 10:07:22;105,00;Saisonkarte Erwachsen;1;Bar;05171;
11.07.2025 10:09:14;105,00;Saisonkarte Erwachsen;1;EC-Cash;05172;
11.07.2025 10:10:00;105,00;Saisonkarte Erwachsen;1;EC-Cash;05173;
11.07.2025 10:15:51;185,00;Saisonkarte Familie 6W;1;Bar;05174;
11.07.2025 10:29:20;60,00;Zehnerkarte Erwachsen;1;EC-Cash;05175;
11.07.2025 10:31:48;185,00;Saisonkarte Familie 6W;1;Bar;05176;
11.07.2025 10:40:47;105,00;Saisonkarte Erwachsen;1;Bar;05177;
11.07.2025 10:44:43;185,00;Saisonkarte Familie 6W;1;EC-Cash;05178;
11.07.2025 11:01:23;105,00;Saisonkarte Erwachsen;1;Bar;05179;
11.07.2025 11:06:43;185,00;Saisonkarte Familie 6W;1;Bar;05180;
11.07.2025 11:18:33;185,00;Saisonkarte Familie 6W;1;Bar;05181;
11.07.2025 11:27:52;185,00;Saisonkarte Familie 6W;1;Bar;05182;
11.07.2025 12:01:45;185,00;Saisonkarte Familie 6W;1;EC-Cash;05183;
11.07.2025 12:03:46;37,00;Zehnerkarte    Ermäßigt;1;Bar;05184;
11.07.2025 12:10:49;4,50;Kind Tageskarte;1;Bar;05185;
11.07.2025 12:36:43;185,00;Saisonkarte Familie 6W;1;EC-Cash;05186;
11.07.2025 13:05:27;185,00;Saisonkarte Familie 6W;1;Bar;05187;
11.07.2025 13:18:19;4,50;Kind Tageskarte;1;Bar;05188;
11.07.2025 13:18:19;185,00;Saisonkarte Familie 6W;1;Bar;05188;
11.07.2025 13:33:22;37,00;Zehnerkarte    Ermäßigt;1;Bar;05189;
11.07.2025 13:40:00;185,00;Saisonkarte Familie 6W;1;Bar;05190;
11.07.2025 13:40:42;4,50;Kind Tageskarte;1;Bar;05191;
11.07.2025 13:40:42;7,00;Erw. Tageskarte;1;Bar;05191;
11.07.2025 13:41:28;105,00;Saisonkarte Erwachsen;1;Bar;05192;
11.07.2025 13:46:14;4,50;Kind Tageskarte;1;Bar;05193;
11.07.2025 13:46:14;185,00;Saisonkarte Familie 6W;1;Bar;05193;
11.07.2025 13:56:45;4,50;Kind Tageskarte;1;Bar;05194;
11.07.2025 14:11:46;185,00;Saisonkarte Familie 6W;1;Bar;05195;
11.07.2025 14:14:15;37,00;Zehnerkarte    Ermäßigt;1;Bar;05196;
11.07.2025 14:26:22;7,00;Erw. Tageskarte;1;Bar;05197;
11.07.2025 14:26:22;7,00;Erw. Tageskarte;1;Bar;05197;
11.07.2025 14:47:11;37,00;Zehnerkarte    Ermäßigt;1;Bar;05198;
11.07.2025 14:48:06;4,50;Kind Tageskarte;1;Bar;05199;
11.07.2025 14:48:51;4,50;Kind Tageskarte;1;Bar;05200;
11.07.2025 14:53:25;37,00;Zehnerkarte    Ermäßigt;1;Bar;05201;
11.07.2025 14:56:07;4,50;Kind Tageskarte;1;Bar;05202;
11.07.2025 15:09:30;185,00;Saisonkarte Familie 6W;1;Bar;05203;
11.07.2025 15:10:01;105,00;Saisonkarte Erwachsen;1;Bar;05204;
11.07.2025 15:14:15;60,00;Zehnerkarte Erwachsen;1;Bar;05205;
11.07.2025 15:14:15;4,50;Kind Tageskarte;1;Bar;05205;
11.07.2025 15:27:25;185,00;Saisonkarte Familie 6W;1;EC-Cash;05206;
11.07.2025 15:29:04;185,00;Saisonkarte Familie 6W;1;Bar;05207;
11.07.2025 15:37:40;37,00;Zehnerkarte    Ermäßigt;1;Bar;05208;
11.07.2025 15:37:40;37,00;Zehnerkarte    Ermäßigt;1;Bar;05208;
11.07.2025 15:37:40;37,00;Zehnerkarte    Ermäßigt;1;Bar;05208;
11.07.2025 15:39:46;37,00;Zehnerkarte    Ermäßigt;1;EC-Cash;05209;
11.07.2025 15:39:46;37,00;Zehnerkarte    Ermäßigt;1;EC-Cash;05209;
11.07.2025 15:39:46;37,00;Zehnerkarte    Ermäßigt;1;EC-Cash;05209;
11.07.2025 15:43:02;115,00;Saisonkarte Familie 3W;1;EC-Cash;05210;
11.07.2025 15:47:37;4,50;Kind Tageskarte;1;Bar;05211;
11.07.2025 15:47:50;4,50;Kind Tageskarte;1;Bar;05212;
11.07.2025 15:57:49;60,00;Zehnerkarte Erwachsen;1;Bar;05213;
11.07.2025 15:57:49;37,00;Zehnerkarte    Ermäßigt;1;Bar;05213;
11.07.2025 15:58:01;4,50;Kind Tageskarte;1;Bar;05214;
11.07.2025 16:12:27;4,50;Kind Tageskarte;1;Bar;05215;
11.07.2025 16:12:51;4,50;Kind Tageskarte;1;Bar;05216;
11.07.2025 16:20:28;60,00;Saisonkarte ermäßigt;1;EC-Cash;05217;
11.07.2025 16:20:28;185,00;Saisonkarte Familie 6W;1;EC-Cash;05217;
11.07.2025 16:26:30;4,50;Kind Tageskarte;1;Bar;05218;
11.07.2025 16:26:30;4,50;Kind Tageskarte;1;Bar;05218;
11.07.2025 16:26:30;4,50;Kind Tageskarte;1;Bar;05218;
11.07.2025 16:31:45;18,00;Fam Tageskarte;1;Bar;05219;
11.07.2025 16:47:43;185,00;Saisonkarte Familie 6W;1;EC-Cash;05220;
11.07.2025 16:49:31;105,00;Saisonkarte Erwachsen;1;Bar;05221;
11.07.2025 17:04:39;105,00;Saisonkarte Erwachsen;1;EC-Cash;05222;
11.07.2025 17:13:04;105,00;Saisonkarte Erwachsen;1;EC-Cash;05223;
11.07.2025 17:28:51;7,00;Erw. Tageskarte;1;Bar;05224;
11.07.2025 17:28:51;4,50;Kind Tageskarte;1;Bar;05224;
11.07.2025 18:09:02;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05225;
11.07.2025 18:09:02;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05225;
11.07.2025 18:09:02;105,00;Saisonkarte Erwachsen;1;Bar;05225;
11.07.2025 18:09:02;3,00;Kind Tageskarte ab 18 Uhr;1;Bar;05225;
11.07.2025 18:16:44;3,50;Erw. Tageskarte ab 18 Uhr;1;Bar;05226;
